日期,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3,排名,最高气温,最低气温,天气,Wind_dir,风力
2013/12/2,119,106~130,轻度污染,108.8,138.4,60.9,2.552,88.3,16,43,13,-1,多云转晴,西南风,小于3级
2013/12/3,115,85~132,轻度污染,63.8,86.2,38.5,1.558,53.7,58,36,12,-1,晴转多云,西北风,小于3级
2013/12/4,99,83~114,良,82.4,101.3,42.5,2.045,62,32,26,11,0,多云转晴,西南风,小于3级
2013/12/5,84,52~108,良,39.4,55.9,30.4,1.196,38,58,21,11,-3,晴,西南风,小于3级
2013/12/6,97,50~162,良,128.3,161.9,47.9,2.474,77.7,25,36,10,-2,霾,西北风,小于3级
2013/12/7,234,182~303,重度污染,241.3,284.8,63.9,4.207,98.3,7,78,10,-1,霾,东北风,小于3级转4-5级
2013/12/8,342,308~367,严重污染,173.4,188.7,47,2.912,59.6,39,95,7,-1,晴,北风,4-5级转3-4级
2013/12/9,100,19~290,良,11.2,16.3,9.7,0.599,21.7,57,24,7,-5,晴,西北风,小于3级转4-5级
2013/12/10,36,19~52,优,20.7,45.1,14.4,0.973,29.4,65,2,6,-4,晴,西北风,4-5级转小于3级
2013/12/11,34,24~46,优,19.2,29.5,14.6,0.742,30.1,48,2,3,-3,晴,东北风,3-4级
2013/12/12,36,29~41,优,16,29.2,11.1,0.785,25.4,59,2,5,-6,晴,东北风,小于3级
2013/12/13,41,28~66,优,47.6,63.3,29,1.31,45.3,42,6,6,-5,晴,东北风,小于3级
2013/12/14,65,58~71,良,40.2,47.8,29.4,1.184,40.9,56,13,5,-6,晴,西南风,小于3级
2013/12/15,61,58~69,良,46.4,54.6,31.3,1.503,48.6,44,17,4,-5,晴转多云,西风,小于3级
2013/12/16,91,58~135,良,102.2,125.6,59,2.511,70.4,15,46,1,-4,小雪,东北风,小于3级
2013/12/17,136,84~166,轻度污染,59,41,34.8,1.357,39.2,54,79,3,-7,晴,东北风,小于3级
2013/12/18,34,24~77,优,29,44.6,22.2,0.857,31.9,52,18,2,-8,晴,北风,小于3级
2013/12/19,49,36~67,优,45.2,60.3,29.8,1.221,49.9,44,22,3,-7,晴,南风,小于3级
2013/12/20,64,52~71,良,30.3,45.2,28,1.101,45.9,62,23,2,-8,晴,东北风,小于3级
2013/12/21,50,41~88,优,60.7,80.8,43.1,1.591,69,38,6,3,-6,多云转晴,西南风,小于3级
2013/12/22,132,95~180,轻度污染,135.4,178,67.2,2.781,94.9,18,53,5,-6,晴,西北风,小于3级
2013/12/23,200,162~217,重度污染,126.2,165.8,61.7,2.886,90.3,40,75,4,-6,晴,北风,小于3级
2013/12/24,201,154~270,重度污染,219.4,267.5,93.9,4.845,122.7,12,63,6,-6,霾,北风,小于3级转4-5级
2013/12/25,277,217~306,重度污染,168.6,219.2,65,3.26,93.7,57,81,2,-5,晴,西北风,4-5级转3-4级
2013/12/26,92,23~207,良,10,19.6,8.8,0.397,20.9,63,19,2,-9,晴,北风,小于3级
2013/12/27,25,19~38,优,16.2,21,19.5,0.58,33.7,48,2,2,-6,多云转晴,西风,小于3级
2013/12/28,40,32~50,优,10.9,18.2,10.5,0.348,20.9,63,3,6,-7,晴,西南风,小于3级
2013/12/29,59,46~79,良,57.8,86.9,47.7,1.726,75.7,42,9,7,-6,晴,西风,小于3级
2013/12/30,74,70~80,良,43.1,84.4,28.2,1.09,52.9,66,12,8,-5,晴,西南风,小于3级转3-4级
2013/12/31,94,71~104,良,50.3,147.8,23.1,1.233,49,71,30,10,-3,晴,东北风,小于3级
